N,Time,avg(T),avg(T.air),avg(T.liquid),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(X),avg(Y),avg(Z),avg(alpha.liquid),avg(p),avg(p_rgh),avg(rho),max(T),max(T.air),max(T.liquid),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(X),max(Y),max(Z),max(alpha.liquid),max(p),max(p_rgh),max(rho),med(T),med(T.air),med(T.liquid),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(X),med(Y),med(Z),med(alpha.liquid),med(p),med(p_rgh),med(rho),min(T),min(T.air),min(T.liquid),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(X),min(Y),min(Z),min(alpha.liquid),min(p),min(p_rgh),min(rho),q1(T),q1(T.air),q1(T.liquid),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(X),q1(Y),q1(Z),q1(alpha.liquid),q1(p),q1(p_rgh),q1(rho),q3(T),q3(T.air),q3(T.liquid),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(X),q3(Y),q3(Z),q3(alpha.liquid),q3(p),q3(p_rgh),q3(rho),std(T),std(T.air),std(T.liquid),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(X),std(Y),std(Z),std(alpha.liquid),std(p),std(p_rgh),std(rho),sum(T),sum(T.air),sum(T.liquid),sum(U (0)),sum(U (1)),sum(U (2)),sum(U (Magnitude)),sum(X),sum(Y),sum(Z),sum(alpha.liquid),sum(p),sum(p_rgh),sum(rho),vtkValidPointMask
283780,0.01,432,483.22,483.22,0.078388,2.8628E-05,-5.2551E-06,0.078954,0.075,0.002,2.0618E-09,0.028172,117540,117540,21.509,520.87,520.87,520.87,0.58763,0.11052,0.11509,0.58763,0.15,0.004,0.01,1,5098200,5098300,738.28,461.13,492.51,492.51,0.040975,0,0,0.041539,0.075,0.002,1.758E-15,0,100950,100950,0.71839,323.15,410.7,410.7,-0.00031714,-0.10929,-0.1154,0,0,0,-0.01,-1.5802E-13,27990,28002,0.7045,323.35,462.14,462.14,0,-0.0019066,-0.0011843,0,0.027,0.00046842,-0.0040065,0,100100,100100,0.71103,491.2,493.15,493.15,0.11821,0.0019073,0.0011782,0.11873,0.123,0.0035316,0.0040065,0,102310,102310,0.7613,72.742,15.527,15.527,0.10026,0.0089194,0.0095951,0.10067,0.048721,0.0015578,0.0050477,0.15906,149820,149820,117.32,122590000,137130000,137130000,22245,8.124,-1.4913,22405,21283,567.55,0.00058511,7994.5,33355000000,33355000000,6103900,1
283780,0.02,424.9,476.13,476.13,0.1075,2.7289E-05,-1.3646E-05,0.10807,0.075,0.002,2.0618E-09,0.047149,136700,136700,35.525,520.15,520.15,520.15,0.69932,0.090366,0.1127,0.69932,0.15,0.004,0.01,1,5853600,5853600,738.28,442.31,486.44,486.44,0.077502,0,0,0.077726,0.075,0.002,1.758E-15,0,101540,101540,0.72899,323.15,379.11,379.11,0,-0.080522,-0.11276,0,0,0,-0.01,-7.2263E-15,37134,37153,0.70368,323.3,443.37,443.37,0,-0.0011259,-0.0010281,0,0.027,0.00046842,-0.0040065,0,100240,100240,0.71719,484.52,493.15,493.15,0.15569,0.0011273,0.0010034,0.15672,0.123,0.0035316,0.0040065,0,103210,103210,0.80033,69.932,23.707,23.707,0.12168,0.0073462,0.012055,0.12199,0.048721,0.0015578,0.0050477,0.20287,223980,223980,149.63,120580000,135120000,135120000,30508,7.744,-3.8725,30669,21283,567.55,0.00058511,13380,38792000000,38792000000,10081000,1
283780,0.03,419.39,470.63,470.63,0.12059,2.7054E-05,-5.5284E-06,0.12122,0.075,0.002,2.0618E-09,0.068819,169330,169330,51.523,519.94,519.94,519.94,0.74792,0.09242,0.12026,0.74792,0.15,0.004,0.01,1,6514100,6514100,738.28,428.8,481.43,481.43,0.089793,0,0,0.090327,0.075,0.002,1.758E-15,0,101810,101810,0.74212,323.15,363.08,363.08,0,-0.082432,-0.12021,0,0,0,-0.01,-1.3834E-13,32790,32793,0.70256,323.27,429.92,429.92,0,-0.00075061,-0.00079772,0,0.027,0.00046842,-0.0040065,0,100310,100310,0.71926,477.55,493.15,493.15,0.17699,0.00075257,0.00079356,0.17832,0.123,0.0035316,0.0040065,0,103620,103620,0.83036,68.02,29.309,29.309,0.13388,0.0072661,0.013493,0.13419,0.048721,0.0015578,0.0050477,0.24383,327820,327830,179.86,119010000,133560000,133560000,34221,7.6774,-1.5688,34400,21283,567.55,0.00058511,19529,48051000000,48052000000,14621000,1
283780,0.04,415.19,466.43,466.43,0.1292,2.6657E-05,-1.1077E-05,0.12989,0.075,0.002,2.0618E-09,0.091155,215100,215100,68.011,522.91,522.91,522.91,0.78535,0.09281,0.12527,0.78535,0.15,0.004,0.01,1,7145300,7145300,738.28,418.65,476.79,476.79,0.09829,0,0,0.099136,0.075,0.002,1.758E-15,0,101990,101990,0.75705,323.15,353.3,353.3,0,-0.082785,-0.12526,0,0,0,-0.01,-1.6088E-13,30185,30188,0.70164,323.26,419.79,419.79,0,-0.00054289,-0.00062063,0,0.027,0.00046842,-0.0040065,0,100350,100350,0.72084,470.95,493.15,493.15,0.19054,0.00054446,0.00061542,0.19166,0.123,0.0035316,0.0040065,0,103900,103900,0.85473,66.796,33.507,33.507,0.14264,0.0072718,0.014662,0.14295,0.048721,0.0015578,0.0050477,0.27889,453720,453720,205.72,117820000,132360000,132360000,36664,7.5647,-3.1436,36860,21283,567.55,0.00058511,25868,61040000000,61040000000,19300000,1
283780,0.05,411.97,463.22,463.22,0.13502,2.6376E-05,-1.3081E-05,0.13576,0.075,0.002,2.0618E-09,0.11366,273380,273390,84.618,526.31,526.31,526.31,0.80834,0.092912,0.12881,0.80834,0.15,0.004,0.01,1,7758700,7758700,738.28,410.68,479.57,479.57,0.10449,0,0,0.10533,0.075,0.002,1.758E-15,0,102120,102120,0.77067,323.15,347.82,347.82,0,-0.082893,-0.12878,0,0,0,-0.01,-4.6919E-14,29379,29382,0.70073,323.24,414.74,414.74,0,-0.00040065,-0.0005032,0,0.027,0.00046842,-0.0040065,0,100390,100390,0.72211,465.37,493.15,493.15,0.19967,0.00040124,0.0004898,0.20161,0.123,0.0035316,0.0040065,0,104090,104090,0.87534,66.08,36.814,36.814,0.14876,0.0073226,0.01555,0.14908,0.048721,0.0015578,0.0050477,0.30876,595770,595770,227.75,116910000,131450000,131450000,38315,7.4849,-3.712,38525,21283,567.55,0.00058511,32253,77581000000,77581000000,24013000,1
283780,0.06,409.54,460.79,460.79,0.1395,2.7336E-05,-7.139E-06,0.14029,0.075,0.002,2.0618E-09,0.13625,344100,344110,101.29,529.03,529.03,529.03,0.82557,0.092923,0.13417,0.82557,0.15,0.004,0.01,1,8339000,8339000,738.28,404.34,486.08,486.08,0.1081,0,0,0.10926,0.075,0.002,1.758E-15,0,102220,102220,0.78369,323.15,344.15,344.15,0,-0.082993,-0.134,0,0,0,-0.01,-1.9643E-14,29982,29985,0.7003,323.23,424.76,424.76,0,-0.00031185,-0.00044558,0,0.027,0.00046842,-0.0040065,0,100410,100410,0.72319,460.84,493.15,493.15,0.20634,0.0003122,0.00043494,0.20827,0.123,0.0035316,0.0040065,0,104230,104230,0.89323,65.747,39.5,39.5,0.1535,0.0073331,0.016377,0.15384,0.048721,0.0015578,0.0050477,0.33465,751070,751070,246.85,116220000,130760000,130760000,39587,7.7573,-2.0259,39810,21283,567.55,0.00058511,38666,97649000000,97650000000,28745000,1
283780,0.07,407.7,458.96,458.96,0.14288,2.7466E-05,-1.5619E-05,0.14374,0.075,0.002,2.0618E-09,0.1589,427090,427090,118,531.36,531.36,531.36,0.83898,0.092939,0.15021,0.83898,0.15,0.004,0.01,1,8939900,8939900,738.28,399.13,487.28,487.28,0.11062,0,0,0.11207,0.075,0.002,1.758E-15,0,102290,102290,0.79556,323.15,341.6,341.6,0,-0.083008,-0.15046,0,0,0,-0.01,-8.5879E-15,31496,31499,0.70048,323.23,424.87,424.87,0,-0.00024586,-0.0003901,0,0.027,0.00046842,-0.0040065,0,100430,100430,0.72405,457.93,493.15,493.15,0.21058,0.00024635,0.00038264,0.21344,0.123,0.0035316,0.0040065,0,104350,104350,0.90886,65.7,41.729,41.729,0.15711,0.007348,0.017467,0.15747,0.048721,0.0015578,0.0050477,0.35735,917390,917390,263.6,115700000,130240000,130240000,40547,7.7942,-4.4325,40790,21283,567.55,0.00058511,45092,121200000000,121200000000,33487000,1
283780,0.08,406.35,457.61,457.61,0.14534,2.7448E-05,-1.0931E-05,0.14631,0.075,0.002,2.0618E-09,0.18158,522340,522340,134.74,533.13,533.13,533.13,0.84957,0.092947,0.23202,0.84957,0.15,0.004,0.01,1,9533800,9533800,738.28,394.8,487.45,487.45,0.11225,0,0,0.11406,0.075,0.002,1.758E-15,0,102340,102340,0.80801,323.15,339.75,339.75,0,-0.083017,-0.23185,0,0,0,-0.01,-1.1036E-14,30908,30911,0.70072,323.22,425.38,425.38,0,-0.00019804,-0.00034096,0,0.027,0.00046842,-0.0040065,0,100440,100440,0.7253,455.75,493.15,493.15,0.21318,0.00019864,0.00033704,0.217,0.123,0.0035316,0.0040065,2.8586E-23,104430,104430,0.92361,65.869,43.598,43.598,0.1597,0.0073362,0.019263,0.16015,0.048721,0.0015578,0.0050477,0.3774,1093000,1093000,278.38,115310000,129860000,129860000,41246,7.7892,-3.102,41520,21283,567.55,0.00058511,51527,148230000000,148230000000,38236000,1
283780,0.09,405.38,456.63,456.63,0.14755,2.6554E-05,-1.1583E-05,0.14872,0.075,0.002,2.0618E-09,0.20424,628900,628900,151.46,534.44,534.44,534.44,0.85998,0.092954,0.36905,0.85998,0.15,0.004,0.01,1,10123000,10123000,738.28,391.12,487.67,487.67,0.11427,0,0,0.117,0.075,0.002,1.758E-15,0,102380,102380,0.82046,323.15,334.34,334.34,0,-0.083024,-0.36851,0,0,0,-0.01,-5.1671E-15,33002,33005,0.70083,323.22,424.89,424.89,0,-0.0001632,-0.00030725,0,0.027,0.00046842,-0.0040065,0,100450,100450,0.72649,454.09,493.15,493.15,0.2187,0.0001639,0.00030206,0.22322,0.123,0.0035316,0.0040065,6.0103E-15,104500,104500,0.94562,66.185,45.193,45.193,0.16198,0.0073949,0.02353,0.16278,0.048721,0.0015578,0.0050477,0.39515,1275000,1275000,291.48,115040000,129580000,129580000,41872,7.5356,-3.2871,42204,21283,567.55,0.00058511,57959,178470000000,178470000000,42981000,1
283780,0.1,404.73,455.99,455.99,0.14332,2.6867E-05,-1.1435E-05,0.14434,0.075,0.002,2.0618E-09,0.22746,753140,753150,168.6,535.31,535.31,535.31,0.81407,0.13999,0.45379,0.81407,0.15,0.004,0.01,1,10736000,10736000,738.28,387.79,488.13,488.13,0.10981,0,0,0.11102,0.075,0.002,1.758E-15,0,102320,102320,0.83464,323.15,334.51,334.51,0,-0.1399,-0.4515,0,0,0,-0.01,-5.5652E-20,32026,32029,0.70085,323.21,424.94,424.94,0,-0.00011672,-0.00023602,0,0.027,0.00046842,-0.0040065,-1.4013E-45,100440,100440,0.72675,472.3,493.15,493.15,0.21275,0.00011756,0.00023272,0.21568,0.123,0.0035316,0.0040065,2.3552E-11,104370,104370,1.0181,66.662,46.603,46.603,0.15686,0.0083415,0.023188,0.15786,0.048721,0.0015578,0.0050477,0.41127,1471600,1471600,303.37,114850000,129400000,129400000,40671,7.6243,-3.2449,40960,21283,567.55,0.00058511,64550,213730000000,213730000000,47844000,1
283780,0.11,404.38,455.65,455.65,0.1432,2.6883E-05,-8.9301E-06,0.14397,0.075,0.002,2.0618E-09,0.25399,993100,993110,188.17,535.79,535.79,535.79,0.83317,0.12364,0.3132,0.83317,0.15,0.004,0.01,1,11750000,11750000,738.28,385.06,490.8,490.8,0.107,0,0,0.10796,0.075,0.002,1.758E-15,0,102310,102310,0.85759,323.15,333.42,333.42,0,-0.1234,-0.31293,0,0,0,-0.01,-1.2964E-19,30367,30370,0.70096,323.21,422.4,422.4,0,-0.00012056,-0.00027064,0,0.027,0.00046842,-0.0040065,-7.0065E-45,100440,100440,0.72756,478.97,493.15,493.15,0.21237,0.00012084,0.00026684,0.21477,0.123,0.0035316,0.0040065,0.85499,328000,328010,631.91,67.227,47.772,47.772,0.15773,0.0089226,0.018636,0.15838,0.048721,0.0015578,0.0050477,0.42882,1821700,1821700,316.32,114760000,129300000,129300000,40637,7.6289,-2.5342,40855,21283,567.55,0.00058511,72077,281820000000,281820000000,53399000,1
283780,0.12,404.39,455.65,455.65,0.14996,2.6871E-05,-9.5658E-06,0.15073,0.075,0.002,2.0618E-09,0.28059,1408500,1408500,207.8,535.98,535.98,535.98,0.87102,0.13318,0.24772,0.87102,0.15,0.004,0.01,1,13319000,13319000,738.28,383.37,492.99,492.99,0.11076,0,0,0.11129,0.075,0.002,1.758E-15,0,102480,102480,0.90864,323.15,333.86,333.86,0,-0.13344,-0.24746,0,0,0,-0.01,-2.031E-19,14119,14133,0.70105,323.21,420.06,420.06,0,-0.00010225,-0.00024776,0,0.027,0.00046842,-0.0040065,-2.5223E-44,100480,100480,0.72971,480.05,493.15,493.15,0.2209,0.00010238,0.00024487,0.22328,0.123,0.0035316,0.0040065,0.97316,1928200,1928200,719.06,67.935,48.753,48.753,0.16672,0.0096828,0.017616,0.16724,0.048721,0.0015578,0.0050477,0.4442,2406400,2406400,327.67,114760000,129300000,129300000,42557,7.6255,-2.7146,42773,21283,567.55,0.00058511,79627,399700000000,399700000000,58970000,1
283780,0.13,404.78,456.05,456.05,0.16027,2.7193E-05,-8.7834E-06,0.16112,0.075,0.002,2.0618E-09,0.30876,2103400,2103400,228.58,535.95,535.95,535.95,0.95521,0.1597,0.20611,0.95521,0.15,0.004,0.01,1,15698000,15698000,738.28,384.08,493.15,493.15,0.11455,0,0,0.11617,0.075,0.002,1.758E-15,0,102710,102710,0.92686,323.15,332.72,332.72,0,-0.15952,-0.20593,0,0,0,-0.01,-1.7558E-14,10000,10014,0.7012,323.2,418.4,418.4,0,-0.00010612,-0.00027706,0,0.027,0.00046842,-0.0040065,-8.9683E-44,100520,100520,0.73267,480.75,493.15,493.15,0.23547,0.00010596,0.00027462,0.23796,0.123,0.0035316,0.0040065,0.98698,4250200,4250200,729.21,68.823,49.575,49.575,0.1803,0.010651,0.018882,0.18084,0.048721,0.0015578,0.0050477,0.45788,3352300,3352300,337.77,114870000,129420000,129420000,45481,7.7168,-2.4925,45723,21283,567.55,0.00058511,87618,596910000000,596910000000,64867000,1
283780,0.14,405.42,456.68,456.68,0.16542,2.6895E-05,-9.3847E-06,0.16635,0.075,0.002,2.0618E-09,0.3375,2986400,2986400,249.79,535.78,535.78,535.78,0.97204,0.16524,0.21702,0.97204,0.15,0.004,0.01,1,18465000,18465000,738.28,393.99,493.15,493.15,0.1165,0,0,0.11885,0.075,0.002,1.758E-15,0,102850,102850,0.93203,323.15,331.72,331.72,0,-0.1651,-0.21695,0,0,0,-0.01,-2.5266E-14,10000,10011,0.70121,323.2,417.2,417.2,0,-6.9813E-05,-0.00024552,0,0.027,0.00046842,-0.0040065,-3.3351E-43,100550,100550,0.73475,481.75,493.15,493.15,0.24318,7.0199E-05,0.00024092,0.24637,0.123,0.0035316,0.0040065,0.9929,6957300,6957300,733.45,69.87,50.376,50.376,0.18662,0.010678,0.020319,0.1872,0.048721,0.0015578,0.0050477,0.46907,4498400,4498400,346.02,115050000,129600000,129600000,46944,7.6322,-2.6632,47206,21283,567.55,0.00058511,95775,847480000000,847480000000,70884000,1
283780,0.15,406.22,457.49,457.49,0.16468,2.7028E-05,-1.0642E-05,0.1656,0.075,0.002,2.0618E-09,0.36624,3921700,3921700,271,535.53,535.53,535.53,0.9693,0.15651,0.22521,0.9693,0.15,0.004,0.01,1,21153000,21153000,738.28,399.22,493.15,493.15,0.11576,0,0,0.11727,0.075,0.002,1.758E-15,0,102850,102850,0.93738,323.15,330.84,330.84,0,-0.15632,-0.22541,0,0,0,-0.01,-4.9168E-18,10000,10011,0.7004,323.2,415.78,415.78,0,-6.0466E-05,-0.00025919,0,0.027,0.00046842,-0.0040065,-5.9835E-43,100550,100550,0.74199,488.12,493.15,493.15,0.2428,6.0489E-05,0.00025324,0.24514,0.123,0.0035316,0.0040065,0.99569,9591700,9591700,735.42,71.011,51.143,51.143,0.18597,0.010572,0.020329,0.18655,0.048721,0.0015578,0.0050477,0.4781,5633600,5633600,352.68,115280000,129830000,129830000,46731,7.6699,-3.0201,46994,21283,567.55,0.00058511,103930,1112900000000,1112900000000,76903000,1
